switchID,period,year,propDev
1294_1-2,springMig,2006,0.00013124220749393
1306_1-2,springMig,2006,0.0192344134925147
1311_1-2,springMig,2006,0.00149855312112443
143_1-2,springMig,2006,0.00684943724024758
145_1-2,springMig,2006,0.00756506932619801
146_1-2,springMig,2006,0.00657174151150055
147_1-2,springMig,2006,0.0014531117994931
148_1-2,springMig,2006,0.00214438884917798
149_1-2,springMig,2006,0.00817969358608154
150_1-2,springMig,2006,0.000247437256981265
151_1-2,springMig,2006,0.000613297738013637
152_1-2,springMig,2006,0.00079074824552733
153_1-2,springMig,2006,0.000669129840281616
852_1-2,springMig,2006,0.000636197068403909
854_1-2,springMig,2006,0.000577044786121142
1294_1-2,winter2,2007,0.0014069413968814
1306_1-2,winter2,2007,0.000888194817236836
1311_1-2,winter2,2007,0.000144686392244809
143_1-2,winter2,2007,0.0071190857429908
145_1-2,winter2,2007,0.00593565001648792
146_1-2,winter2,2007,0.00593582118188795
147_1-2,winter2,2007,0.00460100008876528
148_1-2,winter2,2007,0.00975398713889599
149_1-2,winter2,2007,0.0087182200720639
149_2-3,springMig,2007,0.00504601310511317
150_1-2,winter2,2007,0.00704744049014028
151_1-2,winter2,2007,0.00518121951620055
152_1-2,winter2,2007,0.00698207279056732
153_1-2,winter2,2007,0.00815164829091713
727_1-2,springMig,2007,0.000168865225683408
728_1-2,springMig,2007,0.0122474064604946
729_1-2,springMig,2007,0.00423524248409041
730_1-2,springMig,2007,0.00145560407569141
733_1-2,springMig,2007,0.00802491225131528
734_1-2,springMig,2007,0.000847958407640105
737_1-2,springMig,2007,0.00399136433047233
739_1-2,springMig,2007,0.000455594827057838
741_1-2,springMig,2007,0
743_1-2,springMig,2007,0
747_1-2,springMig,2007,0.000305121536665779
750_1-2,springMig,2007,0.0023950545360391
751_1-2,springMig,2007,0.000829281164009197
752_1-2,springMig,2007,0.00266414865275014
753_1-2,springMig,2007,0.0021578986531736
755_1-2,springMig,2007,1.65237363472628e-05
756_1-2,springMig,2007,0.00241681559016254
757_1-2,springMig,2007,0.0086899948882383
758_1-2,springMig,2007,0.00453360279324065
761_1-2,springMig,2007,0.00349843755612227
762_1-2,springMig,2007,0.00381732051694798
763_1-2,springMig,2007,0.00116132149095098
766_1-2,springMig,2007,2.17425572508711e-05
768_1-2,springMig,2007,0.00334198019427035
852_1-2,winter2,2007,0.00673820813576242
854_1-2,winter2,2007,0.00467107132708156
