id,p,year,propDev
1294_1-2,fallMig,2006,0
1294_1-2,springMig,2006,9.83380863408398e-05
1294_1-2,winter1,2006,0.00261964091751326
1306_1-2,fallMig,2006,0.00649087221095335
1306_1-2,springMig,2006,0.0118976526252928
1306_1-2,winter1,2006,0.00330583525415504
1311_1-2,fallMig,2006,3.36343608630577e-05
1311_1-2,springMig,2006,0.00111306928856321
1311_1-2,winter1,2006,0.000493465322845949
143_1-2,fallMig,2006,0.000365146743347483
143_1-2,springMig,2006,0.00767082611615822
143_1-2,winter1,2006,0.0142630744849445
145_1-2,fallMig,2006,0.000172910662824207
145_1-2,springMig,2006,0.0077174771522058
145_1-2,winter1,2006,0.00416508898144642
146_1-2,fallMig,2006,0.000442096935570189
146_1-2,springMig,2006,0.00644791125925521
146_1-2,winter1,2006,0.0617977528089888
147_1-2,fallMig,2006,0.00144989882574128
147_1-2,springMig,2006,0.00130953201461162
147_1-2,winter1,2006,0.0101418057799318
148_1-2,fallMig,2006,0.000834628446439878
148_1-2,springMig,2006,0.00233155975369164
148_1-2,winter1,2006,0.0325024437927664
149_1-2,fallMig,2006,0.000341728462563647
149_1-2,springMig,2006,0.00706493007161052
149_1-2,winter1,2006,0.00506100316312698
150_1-2,fallMig,2006,0.000356125356125356
150_1-2,springMig,2006,0.000158493676102324
150_1-2,winter1,2006,0.00656197241423247
151_1-2,fallMig,2006,2.97371238253836e-05
151_1-2,springMig,2006,0.000581331976892054
151_1-2,winter1,2006,0.00430060816681147
152_1-2,fallMig,2006,0.00079405054665047
152_1-2,springMig,2006,0.000767742529865184
152_1-2,winter1,2006,0.0102806649862641
153_1-2,fallMig,2006,0.000802314875706958
153_1-2,springMig,2006,0.000971817298347911
153_1-2,winter1,2006,0.00174172679771087
852_1-2,fallMig,2006,0.00152193889271767
852_1-2,springMig,2006,0.000785994998213648
852_1-2,winter1,2006,0.00950808320238634
854_1-2,fallMig,2006,0.00141477217289492
854_1-2,springMig,2006,0.000569719413189004
854_1-2,winter1,2006,0
1294_1-2,winter2,2007,0.00137879941555368
1306_1-2,winter2,2007,0.00205843117507266
1311_1-2,winter2,2007,0.000133453441430621
143_1-2,winter2,2007,0.00721885085159278
145_1-2,winter2,2007,0.00589138757077688
146_1-2,winter2,2007,0.00586283185840708
147_1-2,winter2,2007,0.00512820512820513
148_1-2,winter2,2007,0.0110868469679153
149_1-2,winter2,2007,0.00983986564798827
149_2-3,fallMig,2007,0.00589970501474926
149_2-3,springMig,2007,0.00453220225066076
149_2-3,winter1,2007,0.00769377807512186
150_1-2,winter2,2007,0.00818240323618645
151_1-2,winter2,2007,0.00583422435033239
152_1-2,winter2,2007,0.00754037163260189
153_1-2,winter2,2007,0.00886281680125959
727_1-2,fallMig,2007,0.000106342575009495
727_1-2,springMig,2007,0.000184295827325651
727_1-2,winter1,2007,0.00455830298708905
728_1-2,fallMig,2007,0.0120044324058114
728_1-2,springMig,2007,0.0103815282747322
728_1-2,winter1,2007,0.0181000067663577
729_1-2,fallMig,2007,0.00233540709731186
729_1-2,springMig,2007,0.00431272572763969
729_1-2,winter1,2007,0.00321872273862166
730_1-2,fallMig,2007,0.000881734530080713
730_1-2,springMig,2007,0.00117794301700655
730_1-2,winter1,2007,0.0194726742946486
733_1-2,fallMig,2007,0.00909571851535599
733_1-2,springMig,2007,0.008022000593377
733_1-2,winter1,2007,0.0162850812407681
734_1-2,fallMig,2007,0.000324212543228339
734_1-2,springMig,2007,0.000815433940584518
734_1-2,winter1,2007,0.00451905660025023
737_1-2,fallMig,2007,0.000131950492175336
737_1-2,springMig,2007,0.00400719830923434
737_1-2,winter1,2007,0.00605678155372842
739_1-2,fallMig,2007,0.00015778930325732
739_1-2,springMig,2007,0.000456156787019783
739_1-2,winter1,2007,0.00315499765053366
741_1-2,fallMig,2007,0
741_1-2,springMig,2007,0.00155997443897305
741_1-2,winter1,2007,0.00319801592481399
743_1-2,fallMig,2007,0.000991591844496665
743_1-2,springMig,2007,0
743_1-2,winter1,2007,0.00415978345242123
747_1-2,fallMig,2007,2.94700547406267e-05
747_1-2,springMig,2007,0.000310393665502519
747_1-2,winter1,2007,0.000603304250974568
750_1-2,fallMig,2007,0.00717182211200107
750_1-2,springMig,2007,0.00714743076676805
