switchID,period,year,propCrop
1294_1-2,winter2,2007,0.00255144812905954
1306_1-2,winter2,2007,0.0235322824654727
1311_1-2,winter2,2007,3.61715980612023e-05
143_1-2,winter2,2007,0.00941100750368905
145_1-2,winter2,2007,0.00913901669205282
146_1-2,winter2,2007,0.0294512663085188
147_1-2,winter2,2007,0.0236855342190135
148_1-2,winter2,2007,0.01848537885194
149_1-2,winter2,2007,0.0247688159850833
150_1-2,winter2,2007,0.0232682714520071
151_1-2,winter2,2007,0.0099600939352635
152_1-2,winter2,2007,0.0242405766602091
153_1-2,winter2,2007,0.00596866451131559
852_1-2,winter2,2007,0.0240060663070396
854_1-2,winter2,2007,0.0276889741403808
149_2-3,winter2,2008,0.0231633964342408
727_1-2,winter2,2008,0.0264429253437802
728_1-2,winter2,2008,0.0143036477319364
729_1-2,winter2,2008,0.064928543584119
729_2-3,winter2,2008,0.0902670988828462
730_1-2,winter2,2008,0.0276877058359001
733_1-2,winter2,2008,0.0150797378147142
734_1-2,winter2,2008,0.0159128699700698
737_1-2,winter2,2008,0.039929160804087
739_1-2,winter2,2008,0.0063174667295047
741_1-2,winter2,2008,0.0114530856423174
743_1-2,winter2,2008,0.00511268558407804
747_1-2,winter2,2008,0.00966642144648267
750_1-2,winter2,2008,0.00790694895337489
751_1-2,winter2,2008,0.00285983025874396
752_1-2,winter2,2008,0.0515232418116914
753_1-2,winter2,2008,0.0420878380358032
753_2-3,winter2,2008,0.0512833574451033
755_1-2,winter2,2008,0
756_1-2,winter2,2008,0.00190975817399508
757_1-2,winter2,2008,0.0215455685670645
758_1-2,winter2,2008,0.00724963361016121
761_1-2,winter2,2008,0.0149076173835459
762_1-2,winter2,2008,0.0213179227867405
763_1-2,winter2,2008,0.00643332919614414
766_1-2,winter2,2008,0.00882919133291841
768_1-2,winter2,2008,0.000472775982980065
149_3-4,winter2,2009,0.0552893475856985
305_2-3,winter2,2009,0.0883676372398177
308_2-3,winter2,2009,0.0889114002961116
311_2-3,winter2,2009,0.0515280430630318
312_2-3,winter2,2009,0.0745903561974332
313_2-3,winter2,2009,0.0818305277453179
314_2-3,winter2,2009,0.0548335974643423
315_2-3,winter2,2009,0.113883243394772
318_2-3,winter2,2009,0.0567597354886113
319_2-3,winter2,2009,0.0455848776084533
321_2-3,winter2,2009,0.0480859092592266
322_2-3,winter2,2009,0.074962954353953
323_2-3,winter2,2009,0.0527078802940872
325_2-3,winter2,2009,0.0507707390333952
326_2-3,winter2,2009,0.0642482774866027
328_2-3,winter2,2009,0.10125786163522
331_2-3,winter2,2009,0.0525936183717039
332_2-3,winter2,2009,0.0477751388698059
333_2-3,winter2,2009,0.0704916312503279
334_2-3,winter2,2009,0.0518729443966183
470_2-3,winter2,2009,0.0634592910011687
727_2-3,winter2,2009,0.0379960324317599
730_2-3,winter2,2009,0.012924725154941
733_2-3,winter2,2009,0.0113093478530357
736_2-3,winter2,2009,0.003794909187326
737_2-3,winter2,2009,0.00755694017597777
739_2-3,winter2,2009,0.00426074919975776
740_2-3,winter2,2009,0.00371787467513716
741_2-3,winter2,2009,0.0140097236438076
747_2-3,winter2,2009,0.0068
750_2-3,winter2,2009,0.00463743676222597
751_2-3,winter2,2009,0.00467108243975059
752_2-3,winter2,2009,0.0548369682573958
756_2-3,winter2,2009,0.0111225591207929
758_2-3,winter2,2009,0.00698093049803158
761_2-3,winter2,2009,0.0037825794082595
763_2-3,winter2,2009,0.00424008291717705
766_2-3,winter2,2009,0.00943590346571034
767_2-3,winter2,2009,0.000558880058886875
768_2-3,winter2,2009,0.0115349756941584
769_1-2,winter2,2009,0.0227556109725686
772_1-2,winter2,2009,0.0059258932898621
773_1-2,winter2,2009,0.00103944958669505
778_1-2,winter2,2009,0.00563192535199533
779_1-2,winter2,2009,0.00254812842567265
781_1-2,winter2,2009,0.0105479266808453
783_1-2,winter2,2009,0.0510540124523757
211_1-2,winter2,2010,0.000104843782763682
212_1-2,winter2,2010,0.00378337739189484
215_1-2,winter2,2010,0.021707696870829
217_1-2,winter2,2010,0.0147682954806148
218_1-2,winter2,2010,0.00354594012298577
308_3-4,winter2,2010,0.0381612892417998
312_3-4,winter2,2010,0.0453289110005528
313_3-4,winter2,2010,0.0616400023158423
314_3-4,winter2,2010,0.0316252810870293
318_3-4,winter2,2010,0.0493197770139511
322_3-4,winter2,2010,0.0694075935100613
323_3-4,winter2,2010,0.0480565044778875
325_3-4,winter2,2010,0.0332188788882342
326_3-4,winter2,2010,0.0482423223559785
328_3-4,winter2,2010,0.0385575152631069
332_3-4,winter2,2010,0.0693100480678407
333_3-4,winter2,2010,0.030868614973986
334_3-4,winter2,2010,0.0299917876950422
335_2-3,winter2,2010,0.0319341314340557
451_1-2,winter2,2010,0.0934382263543715
452_1-2,winter2,2010,0.0249209661323303
453_1-2,winter2,2010,0.0529790581861242
454_1-2,winter2,2010,0.0955236263529057
455_1-2,winter2,2010,0.0365811741984058
456_1-2,winter2,2010,0.0853113693673939
457_1-2,winter2,2010,0.0290286417254482
470_3-4,winter2,2010,0.0553021232741767
531_1-2,winter2,2010,0.000904784714460589
532_1-2,winter2,2010,0.00310088202866593
533_1-2,winter2,2010,3.2274722437387e-05
534_1-2,winter2,2010,0.00198630715915814
535_1-2,winter2,2010,0.000564457392571012
539_1-2,winter2,2010,0
540_1-2,winter2,2010,0
542_1-2,winter2,2010,0.00105611828524795
544_1-2,winter2,2010,0.00123041976243434
547_1-2,winter2,2010,0.00018697290860961
548_1-2,winter2,2010,2.06032635569474e-05
549_1-2,winter2,2010,4.18121380636799e-05
550_1-2,winter2,2010,0.0191760129399655
553_1-2,winter2,2010,0.00034006415264285
555_1-2,winter2,2010,6.32611102324846e-05
556_1-2,winter2,2010,0
558_1-2,winter2,2010,0
560_1-2,winter2,2010,0.00209957102289892
561_1-2,winter2,2010,0.00286736316148081
562_1-2,winter2,2010,0.00288145207033466
564_1-2,winter2,2010,0.00378782274173263
565_1-2,winter2,2010,0.0080529211245739
653_1-2,winter2,2010,0.0179676433310967
343_1-2,winter2,2011,0.00237074132282038
346_1-2,winter2,2011,0
347_1-2,winter2,2011,0.00184733481598393
348_1-2,winter2,2011,0.00286329597180755
349_1-2,winter2,2011,0.0221125370187562
350_1-2,winter2,2011,0.00181535269709544
351_1-2,winter2,2011,0.0237222662440571
352_1-2,winter2,2011,0.00697084917617237
353_1-2,winter2,2011,0.0104472414307746
355_1-2,winter2,2011,0.00150194066543876
356_1-2,winter2,2011,0.00236235657120818
454_2-3,winter2,2011,0.0950514277494066
460_2-3,winter2,2011,0.120405522001726
465_1-2,winter2,2011,0.0691937814002631
466_1-2,winter2,2011,0.0613542767593571
468_1-2,winter2,2011,0.107367428212115
470_4-5,winter2,2011,0.0825580232092837
675_1-2,winter2,2011,0.000690637544783528
676_1-2,winter2,2011,0.00746069810818012
677_1-2,winter2,2011,0.000189825360668185
678_1-2,winter2,2011,0
679_1-2,winter2,2011,0.00497850192351211
680_1-2,winter2,2011,0.00285074322948483
681_1-2,winter2,2011,0.0106424911312574
682_1-2,winter2,2011,0.00716295727807624
683_1-2,winter2,2011,0.00211279050869495
685_1-2,winter2,2011,0.00340864050733254
686_1-2,winter2,2011,0.00766586319990516
687_1-2,winter2,2011,0.0124311162373446
688_1-2,winter2,2011,0.00855193193902871
689_1-2,winter2,2011,0.0113649025069638
691_1-2,winter2,2011,0.00922098569157393
692_1-2,winter2,2011,0.00555618550856106
870_2-3,winter2,2011,0.0943006656936385
876_2-3,winter2,2011,0.119340857400335
927_1-2,winter2,2011,0.140702531697308
1463_1-2,winter2,2012,0.000163738270671957
1468_1-2,winter2,2012,0.00138749415489341
1472_1-2,winter2,2012,0.000495425570565115
1474_1-2,winter2,2012,0.000323848497784582
1476_1-2,winter2,2012,0.000381726220501425
1482_1-2,winter2,2012,0.000144717800289436
348_2-3,winter2,2012,0.000596544157981349
454_3-4,winter2,2012,0.111864228667507
468_2-3,winter2,2012,0.139817195087118
470_5-6,winter2,2012,0.121946688956998
478_1-2,winter2,2012,0.0570477098917282
479_1-2,winter2,2012,0.0937816729267275
870_3-4,winter2,2012,0.111787870832239
878_2-3,winter2,2012,0.0962387194519465
886_2-3,winter2,2012,0.138281951511524
921_1-2,winter2,2012,0.170656175354784
922_1-2,winter2,2012,0.128527861437848
923_1-2,winter2,2012,0.00950785340314136
924_1-2,winter2,2012,0.212420525516233
925_1-2,winter2,2012,0.00403039185436594
926_1-2,winter2,2012,0.129828054920051
928_1-2,winter2,2012,0.0847181819895327
930_1-2,winter2,2012,0.142929834069012
931_1-2,winter2,2012,0.257101138774981
932_1-2,winter2,2012,0.122687341041173
933_1-2,winter2,2012,0.148663757451299
936_1-2,winter2,2012,0.155257840155629
937_1-2,winter2,2012,0.290108715680855
140_1-2,winter2,2013,0.0259923703474585
1463_2-3,winter2,2013,9.58047116757202e-05
1467_1-2,winter2,2013,0.00295842189018594
1468_2-3,winter2,2013,0.000306852768724239
1472_2-3,winter2,2013,0.00024322409399025
1474_2-3,winter2,2013,7.09041061355686e-05
1476_2-3,winter2,2013,0.000382794844047908
1537_1-2,winter2,2013,0.000422447821093348
1549_1-2,winter2,2013,0.00361688005617707
348_3-4,winter2,2013,0
388_1-2,winter2,2013,0.023838630806846
389_1-2,winter2,2013,0.0342868736051938
468_3-4,winter2,2013,0.089896137944943
478_2-3,winter2,2013,0.0719370385108547
573_1-2,winter2,2013,0.00196478596509019
575_1-2,winter2,2013,0.00458095153471749
578_1-2,winter2,2013,0.00451725783362494
581_1-2,winter2,2013,3.72494971317887e-05
582_1-2,winter2,2013,0.00253292212437117
583_1-2,winter2,2013,0
586_1-2,winter2,2013,0.00593887123619307
588_1-2,winter2,2013,0.00321409094601023
591_1-2,winter2,2013,0.0036265330344191
592_1-2,winter2,2013,6.24414611301905e-05
593_1-2,winter2,2013,0.00456023475295424
594_1-2,winter2,2013,0.00546340016316037
596_1-2,winter2,2013,6.4688283334681e-05
597_1-2,winter2,2013,0.00342048903748671
598_1-2,winter2,2013,3.76761359354985e-05
599_1-2,winter2,2013,0.00332249151890323
602_1-2,winter2,2013,0.00475474458487422
604_1-2,winter2,2013,0.00773353391942081
605_1-2,winter2,2013,0.0203425750995169
606_1-2,winter2,2013,0.00456975819133781
607_1-2,winter2,2013,0.00499720030004332
697_1-2,winter2,2013,0.0453376992992013
698_1-2,winter2,2013,0.0301764494058336
844_1-2,winter2,2013,0.000564798330161459
845_1-2,winter2,2013,0.000385105632847883
847_1-2,winter2,2013,0.00389835501750492
886_3-4,winter2,2013,0.0803834808259587
888_2-3,winter2,2013,0.0723160313176151
1234_1-2,winter2,2014,0.12855815283437
134_1-2,winter2,2014,0.0249960485018177
135_1-2,winter2,2014,0.0181744671839202
1463_3-4,winter2,2014,0.000794890388799018
1467_2-3,winter2,2014,0.00663260733172
1468_3-4,winter2,2014,0.00172131523784751
1472_3-4,winter2,2014,0.00145511673126698
1474_3-4,winter2,2014,0.000361378494694307
1476_3-4,winter2,2014,0.00124757502604313
1537_2-3,winter2,2014,0
1539_2-3,winter2,2014,0.000562424424217996
1549_2-3,winter2,2014,0.000656699428671497
397_1-2,winter2,2014,0.0285714285714286
402_1-2,winter2,2014,0.0407145824678022
468_4-5,winter2,2014,0.087502573605106
657_1-2,winter2,2014,0.0128217870986979
848_1-2,winter2,2014,0.00143111532240937
849_1-2,winter2,2014,0.00335477886049478
851_1-2,winter2,2014,0.00176169122357463
1165_1-2,winter2,2015,0.000308439889394538
1166_1-2,winter2,2015,0.000218693959672834
1167_1-2,winter2,2015,0.000327309283894045
1170_1-2,winter2,2015,0.000283848992336077
1173_1-2,winter2,2015,0.000434668699090173
1174_1-2,winter2,2015,0.0342915779639471
1176_1-2,winter2,2015,0.00788099588112561
1178_1-2,winter2,2015,0.00146157632321502
118_1-2,winter2,2015,0.0126438349934052
1181_1-2,winter2,2015,7.38879858135067e-05
119_1-2,winter2,2015,0.0119327994975663
1233_1-2,winter2,2015,0.18334795112897
1235_1-2,winter2,2015,0.0269572783176771
1236_1-2,winter2,2015,0.304796932467329
1239_1-2,winter2,2015,0.0398593725507759
1240_1-2,winter2,2015,0.09643737253569
1245_1-2,winter2,2015,0.126135026530204
1246_1-2,winter2,2015,0.0889317593434823
1248_1-2,winter2,2015,0.0266766002203746
1249_1-2,winter2,2015,0.200129427120466
1250_1-2,winter2,2015,0.167626381364499
1252_1-2,winter2,2015,0.125424968247655
1253_1-2,winter2,2015,0.0365841505222036
137_1-2,winter2,2015,0.00974205194766444
1463_4-5,winter2,2015,0.000240407731512645
1467_3-4,winter2,2015,0.00669874412342464
1472_4-5,winter2,2015,0.00594867212941301
1474_4-5,winter2,2015,0.000268959797981307
1476_4-5,winter2,2015,0.00426636171710063
1483_1-2,winter2,2015,0.121004566210046
1487_1-2,winter2,2015,0.130358534684334
1492_1-2,winter2,2015,0.156051405168761
1493_1-2,winter2,2015,0.146780115102203
1496_1-2,winter2,2015,0.202017702484058
1497_1-2,winter2,2015,0.214598676237531
1498_1-2,winter2,2015,0.146460226635252
1501_1-2,winter2,2015,0.108908932016423
1503_1-2,winter2,2015,0.122448409706515
1530_3-4,winter2,2015,0.0102081505702209
