switchID,period,year,propPrivate
1294_1-2,winter2,2007,0.614796941178186
1306_1-2,winter2,2007,0.840769118149431
1311_1-2,winter2,2007,0.0463358171164002
143_1-2,winter2,2007,0.152357853756554
145_1-2,winter2,2007,0.133936843427602
146_1-2,winter2,2007,0.0228079432079816
147_1-2,winter2,2007,0.0283161227327869
148_1-2,winter2,2007,0.048651943914574
149_1-2,winter2,2007,0.0785899664877668
150_1-2,winter2,2007,0.0693026214469852
151_1-2,winter2,2007,0.0437570820948221
152_1-2,winter2,2007,0.0376441896370306
153_1-2,winter2,2007,0.0279090331316146
852_1-2,winter2,2007,0.0366378069148221
854_1-2,winter2,2007,0.0322890025575448
149_2-3,winter2,2008,0.00234333660896515
727_1-2,winter2,2008,0.619800472648258
728_1-2,winter2,2008,0.247724694010574
729_1-2,winter2,2008,0.560769337500248
729_2-3,winter2,2008,0.440490797546012
730_1-2,winter2,2008,0.434039830278223
733_1-2,winter2,2008,0.208043207481674
734_1-2,winter2,2008,0.0518872630528766
737_1-2,winter2,2008,0.644831978837012
739_1-2,winter2,2008,0.0601113130905092
741_1-2,winter2,2008,0.0630510075566751
743_1-2,winter2,2008,0.425549186456368
747_1-2,winter2,2008,0.0532997935404257
750_1-2,winter2,2008,0.0690314485450816
751_1-2,winter2,2008,0.706291082875271
752_1-2,winter2,2008,0.626288295314783
753_1-2,winter2,2008,0.633109685232389
753_2-3,winter2,2008,0.593434806528516
755_1-2,winter2,2008,0.054371552168909
756_1-2,winter2,2008,0.663324589862175
757_1-2,winter2,2008,0.301426850621531
758_1-2,winter2,2008,0.0792183683439179
761_1-2,winter2,2008,0.0440412902586218
762_1-2,winter2,2008,0.0579821815555021
763_1-2,winter2,2008,0.108746017955401
766_1-2,winter2,2008,0.329705162905817
768_1-2,winter2,2008,0.417579386967142
149_3-4,winter2,2009,0.115001842978253
305_2-3,winter2,2009,0.0305977298458501
308_2-3,winter2,2009,0.0194810254811813
311_2-3,winter2,2009,0.0959802048966834
312_2-3,winter2,2009,0.00016754347753242
313_2-3,winter2,2009,0.00198970407099769
314_2-3,winter2,2009,0.0176590446004075
315_2-3,winter2,2009,0.00700819959352442
318_2-3,winter2,2009,0.106155233451339
319_2-3,winter2,2009,0.128404927520841
321_2-3,winter2,2009,0.0222355451323376
322_2-3,winter2,2009,0.00854229014731092
323_2-3,winter2,2009,0.0374857616236927
325_2-3,winter2,2009,0.00740493523289043
326_2-3,winter2,2009,0.0947529591896826
328_2-3,winter2,2009,0.0850166481687015
331_2-3,winter2,2009,0.0843286596272575
332_2-3,winter2,2009,0.13451233634954
333_2-3,winter2,2009,0.0248439057663046
334_2-3,winter2,2009,0.0139725845970466
470_2-3,winter2,2009,0.103428126217374
727_2-3,winter2,2009,0.618978662224465
730_2-3,winter2,2009,0.585625748010126
733_2-3,winter2,2009,0.213103967807455
736_2-3,winter2,2009,0.313867161606788
737_2-3,winter2,2009,0.887066896813034
739_2-3,winter2,2009,0.0445864694177697
740_2-3,winter2,2009,0.134637597458851
741_2-3,winter2,2009,0.0786847492323439
747_2-3,winter2,2009,0.0559027027027027
750_2-3,winter2,2009,0.055543844856661
751_2-3,winter2,2009,0.712302315044553
752_2-3,winter2,2009,0.557100698193335
756_2-3,winter2,2009,0.699028554607006
758_2-3,winter2,2009,0.0607501939147361
761_2-3,winter2,2009,0.0225400279807244
763_2-3,winter2,2009,0.0568171110901724
766_2-3,winter2,2009,0.323995414327288
767_2-3,winter2,2009,0.0461689453524352
768_2-3,winter2,2009,0.399494658207685
769_1-2,winter2,2009,0.127805486284289
772_1-2,winter2,2009,0.0855399391990131
773_1-2,winter2,2009,0.113399000148493
778_1-2,winter2,2009,0.369607598100475
779_1-2,winter2,2009,0.0307855515918002
781_1-2,winter2,2009,0.144720504530199
783_1-2,winter2,2009,0.634441626305007
211_1-2,winter2,2010,0.650975047179702
212_1-2,winter2,2010,0.444862124996968
215_1-2,winter2,2010,0.312620495328489
217_1-2,winter2,2010,0.478206010552879
218_1-2,winter2,2010,0.58395798734234
308_3-4,winter2,2010,0.0441920461017858
312_3-4,winter2,2010,0.0156126275529261
313_3-4,winter2,2010,0.0931354574753459
314_3-4,winter2,2010,0.0171283670637769
318_3-4,winter2,2010,0.0998960168683747
322_3-4,winter2,2010,0.0164596492051938
323_3-4,winter2,2010,0.0179577139691626
325_3-4,winter2,2010,0.0147910359820395
326_3-4,winter2,2010,0.0347032511782895
328_3-4,winter2,2010,0.0248812869464095
332_3-4,winter2,2010,0.0764047773976197
333_3-4,winter2,2010,0.00146993404638029
334_3-4,winter2,2010,0.0160871179309491
335_2-3,winter2,2010,0.0222558973581856
451_1-2,winter2,2010,0.0172358305024137
452_1-2,winter2,2010,0.00800457803242308
453_1-2,winter2,2010,0.0115658507307736
454_1-2,winter2,2010,0.0585662028132896
455_1-2,winter2,2010,0.00874020000982045
456_1-2,winter2,2010,0.160248328034207
457_1-2,winter2,2010,0.00991100925622786
470_3-4,winter2,2010,0.0850673658366549
531_1-2,winter2,2010,0.154877854063548
532_1-2,winter2,2010,0.289084895259096
533_1-2,winter2,2010,0.0384714691453654
534_1-2,winter2,2010,0.362374270983011
535_1-2,winter2,2010,0.192825928623452
539_1-2,winter2,2010,0.0262982488032479
540_1-2,winter2,2010,0
542_1-2,winter2,2010,0.233386139247596
544_1-2,winter2,2010,0.17997255217453
547_1-2,winter2,2010,0.0685157303260217
548_1-2,winter2,2010,0.0575655183781111
549_1-2,winter2,2010,0.0349549474212364
550_1-2,winter2,2010,0.0997901265924312
553_1-2,winter2,2010,0.0372875747911363
555_1-2,winter2,2010,0.0813854183140914
556_1-2,winter2,2010,0.00910501507743654
558_1-2,winter2,2010,0.0704937384520632
560_1-2,winter2,2010,0.382227659960123
561_1-2,winter2,2010,0.390429820576879
562_1-2,winter2,2010,0.202461712989223
564_1-2,winter2,2010,0.0845749796552489
565_1-2,winter2,2010,0.082351749974687
653_1-2,winter2,2010,0.0156564526951465
343_1-2,winter2,2011,0.176140752776964
346_1-2,winter2,2011,0.0375924815036993
347_1-2,winter2,2011,0.0883582036014061
348_1-2,winter2,2011,0.0396945817630072
349_1-2,winter2,2011,0.210463968410661
350_1-2,winter2,2011,0.0323372167251835
351_1-2,winter2,2011,0.138322107765452
352_1-2,winter2,2011,0.329002957329954
353_1-2,winter2,2011,0.232724740062683
355_1-2,winter2,2011,0.20737848114274
356_1-2,winter2,2011,0.178735576768553
454_2-3,winter2,2011,0.0137380421491764
460_2-3,winter2,2011,0.0253666954270923
465_1-2,winter2,2011,0.0195139832244432
466_1-2,winter2,2011,0.018495571996064
468_1-2,winter2,2011,0.0177111716621253
470_4-5,winter2,2011,0.0145058023209284
675_1-2,winter2,2011,0.331765010575387
676_1-2,winter2,2011,0.676258992805756
677_1-2,winter2,2011,0.000379650721336371
678_1-2,winter2,2011,1
679_1-2,winter2,2011,0.368409142339896
680_1-2,winter2,2011,0.350335980452046
681_1-2,winter2,2011,0.727236893969255
682_1-2,winter2,2011,0.069071373752878
683_1-2,winter2,2011,0.295140581830002
685_1-2,winter2,2011,0.00709472849782006
686_1-2,winter2,2011,0.0131979294266408
687_1-2,winter2,2011,0.00570293476867871
688_1-2,winter2,2011,0.00806451612903226
689_1-2,winter2,2011,0.00729805013927577
691_1-2,winter2,2011,0.00322507381330911
692_1-2,winter2,2011,0.0116226329515818
870_2-3,winter2,2011,0.0145242248406963
876_2-3,winter2,2011,0.0251469767841051
927_1-2,winter2,2011,0.202668623139239
1463_1-2,winter2,2012,0.0828263744568298
1468_1-2,winter2,2012,0.137384918475136
1472_1-2,winter2,2012,0.15575354229283
1474_1-2,winter2,2012,0.0741245050270119
1476_1-2,winter2,2012,0.109773554552767
1482_1-2,winter2,2012,0.37192474674385
348_2-3,winter2,2012,0.0342087218869995
454_3-4,winter2,2012,0.0241698192517865
468_2-3,winter2,2012,0.0101399600114253
470_5-6,winter2,2012,0.00208971858456395
478_1-2,winter2,2012,0.0159311879779775
479_1-2,winter2,2012,0.0174089310200918
870_3-4,winter2,2012,0.0243108427408769
878_2-3,winter2,2012,0.00500625782227785
886_2-3,winter2,2012,0.0107752170008979
921_1-2,winter2,2012,0.187357969181771
922_1-2,winter2,2012,0.212334526938308
923_1-2,winter2,2012,0.295246073298429
924_1-2,winter2,2012,0.188966409722613
925_1-2,winter2,2012,0.184771289725393
926_1-2,winter2,2012,0.162450490491365
928_1-2,winter2,2012,0.0894994439662484
930_1-2,winter2,2012,0.127342001514105
931_1-2,winter2,2012,0.148463779586657
932_1-2,winter2,2012,0.177753750506825
933_1-2,winter2,2012,0.240774649895896
936_1-2,winter2,2012,0.230712361889465
937_1-2,winter2,2012,0.114468398747006
140_1-2,winter2,2013,0.00151562016702753
1463_2-3,winter2,2013,0.0287509939738836
1467_1-2,winter2,2013,0.510076790806464
1468_2-3,winter2,2013,0.245813947702336
1472_2-3,winter2,2013,0.316899844548079
1474_2-3,winter2,2013,0.227137364888287
1476_2-3,winter2,2013,0.295237884911258
1537_1-2,winter2,2013,0.214418672193692
1549_1-2,winter2,2013,0.215387131217715
348_3-4,winter2,2013,0.0634792106056041
388_1-2,winter2,2013,0.529645476772616
389_1-2,winter2,2013,0.697098803002637
